DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-04-30,Tomatoes,Mix Medley Tomatoes,1.0,2.0,0.0
2016-04-30,Tropical Fruits,Longans ,10.798,91.78300000000003,-16.196999999999996
2016-04-30,Veggies,Kalamata Olives,2.056,10.280000000000001,1.0280000000000005
2016-04-30,capsicum,Capsicum yellow,0.174,1.131,1.131
2016-04-30,carrots,Carrots 1kg,196.0,292.0400000000007,135.2399999999997
2016-04-30,coconut Products,Desiccated Low Fat 400g,5.0,8.95,2.55
2016-05-31,Apples,Apple Granny Smith 1kg bag,3.0,8.07,-0.9300000000000002
2016-05-31,Asian Vegies,bitter melon,9.484000000000004,42.678000000000004,-4.742000000000001
2016-05-31,Avocadoes,Avocado Hass Medium,297.0,591.0300000000016,-299.96999999999946
2016-05-31,Bananas,Banana Cavendish,956.5160000000004,1903.4668399999994,-9.56516
2016-05-31,Berries,Berries Strawberry (large),56.0,212.80000000000013,26.319999999999983
2016-05-31,Bunch Vegies,Tuscan Kale,11.0,32.89000000000001,5.390000000000002
2016-05-31,Cabbages,Cabbage Wombok,30.0,45.0,-67.5
2016-05-31,Chillies,Chilli Red Long bullhorn,2.176,13.034239999999999,5.418240000000001
2016-05-31,Citrus,Gold Nugget700g,1.0,2.0,-0.20000000000000015
2016-05-31,Cucumbers,Cucumber continental,273.0,409.5,409.5
2016-05-31,Cut Fruits,Rockmelon Half,2.0,2.0,0.0
2016-05-31,Cut Veggies,cabbage red half,1.0,2.7,2.7
2016-05-31,Eggs,egg free range 500g,3.0,11.97,5.37
2016-05-31,Fruits,Figs 370g pak,14.0,56.0,14.0
2016-05-31,Grapes,grapes Calmeria,12.637999999999998,25.14962,-19.083380000000002
2016-05-31,Groceries-Dry Goods,Monsoon Basmathi 5kg,6.0,59.940000000000005,59.940000000000005
2016-05-31,Herbs,Curry Leaves,0.048,0.096,0.096
2016-05-31,Kalamata olives,Pasta,1.0,5.0,1.5
2016-05-31,Lettuces,Baby Spinach 100g,4.0,5.96,-0.04000000000000003
2016-05-31,Melons,Piel de Sapo Melon,3.0,8.97,-0.02999999999999936
2016-05-31,Multi buy,choy sum 2 for $ 1.99,4.0,7.96,-0.04000000000000003
2016-05-31,Mushrooms,Mushroom flat ,15.056000000000001,150.40943999999996,150.40943999999996
2016-05-31,Nuts,chest Nuts,24.819999999999997,223.37999999999988,0.2481999999999892
2016-05-31,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-05-31,Onions,Prepacked Chinese Garlic,2.0,7.0,5.0
2016-05-31,Other Fruits,Kiwi fruit Green,18.0,99.0,99.0
2016-05-31,Other Vegies,Artichoke,3.0,5.4,0.9000000000000004
2016-05-31,Pears,Pear Nashi,13.535999999999998,40.472640000000006,-13.671359999999995
2016-05-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-05-31,Pumpkins,Pumpkin Grey,22.9,45.571,45.571
2016-05-31,Root Vegies,Turmeric,0.032,0.8,-0.6399999999999999
2016-05-31,Sri Lankan Groceries,Nice Munchee 200g,1.0,1.5,0.6
2016-05-31,Stonefruits,Plums Angelino,21.778,87.112,43.556
2016-05-31,Tomatoes,cherry Truss tomato,3.0,9.0,-1.5
2016-05-31,Tropical Fruits,Longans ,2.964,25.194000000000003,-4.446
2016-05-31,Veggies,Black Spanish Queen Olives,9.886,52.29694,12.752939999999999
